a.mathur,Convergence - Sensor R&D Part /SRI-Noida,Convergence - Sensor R&D Part ,kmodule/sensorhub/broadcom/bcm477x/src/factory/flip_cover_detector.c
a.mathur,Convergence - Sensor R&D Part /SRI-Noida,Convergence - Sensor R&D Part ,kmodule/sensorhub/broadcom/bcm477x/src/ssp_iio.c
a.mathur,Convergence - Sensor R&D Part /SRI-Noida,Convergence - Sensor R&D Part ,kmodule/sensorhub/common/shub/src/factory/flip_cover_detector/flip_cover_detector_factory.c
a.mathur,Convergence - Sensor R&D Part /SRI-Noida,Convergence - Sensor R&D Part ,kmodule/sensors/isg6320/src/isg6320.c
a.ocheretko,Mobile Security /SRK,Defense Engineering,kmodule/security/defex_lsm/cert/defex_sign.c
a.ocheretko,Mobile Security /SRK,Defense Engineering,kmodule/security/defex_lsm/core/defex_get_mode.c
a.ocheretko,Mobile Security /SRK,Defense Engineering,kmodule/security/defex_lsm/core/defex_lsm.c
a.ocheretko,Mobile Security /SRK,Defense Engineering,kmodule/security/defex_lsm/core/defex_main.c
a.ocheretko,Mobile Security /SRK,Defense Engineering,kmodule/security/defex_lsm/core/defex_rules_proc.c
a.ocheretko,Mobile Security /SRK,Defense Engineering,kmodule/security/defex_lsm/core/defex_sysfs.c
a.ocheretko,Mobile Security /SRK,Defense Engineering,kmodule/security/defex_lsm/debug/defex_debug.c
a.ocheretko,Mobile Security /SRK,Defense Engineering,kmodule/security/defex_lsm/defex_rules.c
a.ocheretko,Mobile Security /SRK,Defense Engineering,kmodule/security/defex_lsm/feature_immutable/defex_immutable.c
a.ocheretko,Mobile Security /SRK,Defense Engineering,kmodule/security/defex_lsm/feature_privilege_escalation_detection/defex_priv.c
a.ocheretko,Mobile Security /SRK,Defense Engineering,kmodule/security/defex_lsm/feature_safeplace/defex_safeplace.c
a.ocheretko,Mobile Security /SRK,Defense Engineering,kmodule/security/defex_lsm/kunit_test/defex_common_test.c
a.ocheretko,Mobile Security /SRK,Defense Engineering,kmodule/security/defex_lsm/kunit_test/defex_immutable_test.c
a.ocheretko,Mobile Security /SRK,Defense Engineering,kmodule/security/defex_lsm/kunit_test/defex_main_test.c
a.ocheretko,Mobile Security /SRK,Defense Engineering,kmodule/security/defex_lsm/kunit_test/defex_priv_test.c
a.ocheretko,Mobile Security /SRK,Defense Engineering,kmodule/security/defex_lsm/kunit_test/defex_safeplace_test.c
a.voloshchuk,Mobile Security /SRK,SRK - Mobile Security Lab,kmodule/security/five/five_dsms.c
a.voloshchuk,Mobile Security /SRK,SRK - Mobile Security Lab,kmodule/security/five/five_main.c
a.voloshchuk,Mobile Security /SRK,SRK - Mobile Security Lab,kmodule/security/five/kunit_test/five_cache_test.c
